lowercase
 dorpssteeg
 galerie cathedrale
"""cité félix thomas"""
"""le rosai"""
"""les colir"""
"""les frèchaux"""
"camping ""eau vive""radelange"
"centre commercial ""ville 2"""
"chemin du ""bois à ban"""
"cité jardin ""les trieux"""
"industriepark ""de bruwaan"""
"institut""la clairière"""
"rue ""al cadorette"""
"wijk""de stad"""
1 meilaan
1 meistraat
1 ste regiment grenadierslaan
10de zijweg
10de-linie-regimentstraat
11 geniestraat
11 julistraat
11 novemberstraat
11e rue
12 oktoberlaan
1-2-3-pianopad
12de zijweg
13 augustusweg
13de-liniestraat
13e liniestraat
143ste Brigadestraat
14de zijweg
14e liniestraat
15 augustusstraat
15 kapellekens
16de linie-regimentsstraat
16de zijweg
17 esk. licht vliegwezenlaan
17 oktoberstraat
18de linie-weg
18de zijweg
18-oktoberstraat
19e-liniestraat
1e jagersstraat
1e linie-regimentstraat
1ère avenue
1-meilaan
1-septemberstraat
20 augustusstraat
20ste zijweg
20ste-liniestraat
22e liniestraat
25ste-linielaan
2de genielaan
2de jagers te paardstraat
2de jagers te voetweg
2e carabinierslaan
2ème avenue
3 sluizenweg
39e linielaan
3de en 23ste linieregimentsplein
3e regt.lansiersstraat
3e-linieregimentsstraat
3ème avenue
4 augustusplein
4 st.-job-in-'t-goor
4e regiment karabiniersstraat
4ème avenue
4-septemberlaan
5de linieweg
5de zijweg
5e regiment lansierslaan
5ème avenue
6 septemberstraat
6de zijweg
6e jagersstraat
6e liniestraat
6ème avenue
6-juni-plein
7 de regiment jagerslaan
7 grimbergen
7de liniestraat
7de zijweg
7e-geniestraat
8 mei 1945 square
8ste zijweg
8ste-liniestraat
9de liniestraat
9de zijweg
9de-linielaan
9e-linieplein
a frieunne
a gen roth
a gevimont
a hinselinne
a jene prumehuk
a la barrière
a la brassine
a la closerie-philippe
á la corne du pré
a la cour-marchal
a la courte terre
a la croix
a la croix jacob
a la croix marquet
a la croix-colas
a la fache
a la fontaine
a la haupe
a la paix
a la piérie
a la roche
A la Roth
a la spinette
a la tannerie
a la tombe
a la ville-basse
a la voie d'ochamps
a la voye de luchy
a lapidestraat
a l'assise
